Year,Tournament,Match Stage,Match Order,Player,Champion,K,D,A
2026,Summer,Swiss Round 5,5,herrypotta#713,Lux,4,8,3
2026,Summer,Swiss Round 5,5,Kiny#0001,Yasuo,11,9,5
2026,Summer,Swiss Round 5,5,KocLV#FREE,Talon,9,5,11
2026,Summer,Swiss Round 5,5,ASH Ashwin#ash,Orianna,26,3,13
2026,Summer,Swiss Round 5,5,Arachnobat#LOR,Kog'Maw,6,1,7
2026,Summer,Swiss Round 5,5,WaningEmbers#NA1,Karma,0,3,32
2026,Summer,Swiss Round 4,4,DeMeatus#NA1,Akali,8,1,7
2026,Summer,Swiss Round 4,4,War Koala#1650,Ornn,3,3,7
2026,Summer,Swiss Round 4,4,blizzardpenguin#roast,Jarvan IV,13,0,12
2026,Summer,Swiss Round 4,4,A Gay Raccoon#RNG,Ashe,4,5,11
2026,Summer,Swiss Round 4,4,kingslayer#beep,Seraphine,3,6,11
2026,Summer,Swiss Round 4,4,greenepic#NA1,Darius,1,6,4
2026,Summer,Swiss Round 4,4,MENTAL MOUNTAIN#KEN,Nocturne,4,8,5
2026,Summer,Swiss Round 4,4,Smiley Quokka#Smile,Zed,6,4,1
2026,Summer,Swiss Round 4,4,Ixtali Princess#Diva,Lux,2,8,8
2026,Summer,Swiss Round 4,4,herrypotta#713,Vel'Koz,2,5,4
2026,Summer,Swiss Round 4,4,Inspiring#309,Vi,12,7,11
2026,Summer,Swiss Round 4,4,torpid7#kitty,Vayne,10,7,8
2026,Summer,Swiss Round 4,4,MeguFace#69,Orianna,11,6,15
2026,Summer,Swiss Round 4,4,baober#bao,Ashe,7,2,12
2026,Summer,Swiss Round 4,4,CloaknRaven#NA1,Fiddlesticks,4,7,8
2026,Summer,Swiss Round 4,4,Kiny#0001,Garen,4,7,10
2026,Summer,Swiss Round 4,4,ASH Ashwin#ash,Lee Sin,14,10,10
2026,Summer,Swiss Round 4,4,KocLV#FREE,Diana,8,12,6
2026,Summer,Swiss Round 4,4,Arachnobat#LOR,Sivir,2,9,6
2026,Summer,Swiss Round 4,4,WaningEmbers#NA1,Seraphine,1,6,7
2026,Summer,Swiss Round 4,4,Xemacs#LOR,Kayn,12,1,11
2026,Summer,Swiss Round 4,4,Zhangshi#9859,Garen,7,4,5
2026,Summer,Swiss Round 4,4,一見鍾情#1314,Syndra,7,4,17
2026,Summer,Swiss Round 4,4,SnuggleHero#NA1,Cassiopeia,4,5,15
2026,Summer,Swiss Round 4,4,police defunder#NA1,Camille,4,4,18
2026,Summer,Swiss Round 4,4,Taco1518#NA1,Cho'Gath,5,9,6
2026,Summer,Swiss Round 4,4,RichGamebuddy#NA1,Nocturne,0,10,7
2026,Summer,Swiss Round 4,4,Ene#TFT,Ahri,5,4,1
2026,Summer,Swiss Round 4,4,Voidliss#NA1,Zeri,8,7,6
2026,Summer,Swiss Round 4,4,maomer#bao,Yuumi,0,5,15
2026,Summer,Swiss Round 4,4,ChaidyLarry#Larry,Trundle,7,2,0
2026,Summer,Swiss Round 4,4,smile#dude,Viego,5,1,7
2026,Summer,Swiss Round 4,4,SK Telecom T1#Faker,Xerath,3,0,11
2026,Summer,Swiss Round 4,4,rlylost#NA1,Seraphine,3,0,5
2026,Summer,Swiss Round 4,4,LightningFst#1008,Blitzcrank,1,4,5
2026,Summer,Swiss Round 4,4,Bloodyninja1122,Yorick,3,5,1
2026,Summer,Swiss Round 4,4,No Love#NA1,Olaf,3,7,2
2026,Summer,Swiss Round 4,4,Sarcasm#Riven,Malzahar,0,3,1
2026,Summer,Swiss Round 4,4,PlightOfTheFlake#NA1,Ziggs,1,3,1
2026,Summer,Swiss Round 4,4,ˇchooˇ#hehe,Milio,0,1,6
2026,Summer,Swiss Round 3,3,Voidliss#NA1,Corki,9,2,11
2026,Summer,Swiss Round 3,3,Taco1518#NA1,Dr. Mundo,3,0,8
2026,Summer,Swiss Round 3,3,RichGamebuddy#NA1,Nocturne,10,4,11
2026,Summer,Swiss Round 3,3,Ene#TFT,Ahri,6,3,9
2026,Summer,Swiss Round 3,3,maomer#bao,Nautilus,1,4,14
2026,Summer,Swiss Round 3,3,ChaidyLarry#Larry,Nasus,2,3,4
2026,Summer,Swiss Round 3,3,smile#dude,Naafiri,5,7,3
2026,Summer,Swiss Round 3,3,SK Telecom T1#Faker,Syndra,2,5,7
2026,Summer,Swiss Round 3,3,rlylost#NA1,Xerath,3,7,4
2026,Summer,Swiss Round 3,3,LightningFst#1008,Leona,1,7,6
2026,Summer,Swiss Round 3,3,No Love#NA1,Naafiri,16,2,5
2026,Summer,Swiss Round 3,3,Bloodyninja1122,Rumble,7,2,8
2026,Summer,Swiss Round 3,3,Sarcasm#Riven,Renekton,5,2,7
2026,Summer,Swiss Round 3,3,PlightOfTheFlake#NA1,Seraphine,2,0,9
2026,Summer,Swiss Round 3,3,ˇchooˇ#hehe,Soraka,1,0,20
2026,Summer,Swiss Round 3,3,Inspiring#309,Heimerdinger,2,8,2
2026,Summer,Swiss Round 3,3,torpid7#kitty,Karthus,2,9,2
2026,Summer,Swiss Round 3,3,MeguFace#69,Riven,2,8,2
2026,Summer,Swiss Round 3,3,baober#bao,Ashe,0,2,2
2026,Summer,Swiss Round 3,3,CloaknRaven#NA1,Galio,0,4,2
2026,Summer,Swiss Round 3,3,DeMeatus#NA1,Locke,21,4,7
2026,Summer,Swiss Round 3,3,War Koala#1650,Ornn,1,4,13
2026,Summer,Swiss Round 3,3,blizzardpenguin#roast,Lillia,4,1,20
2026,Summer,Swiss Round 3,3,A Gay Raccoon#RNG,Ashe,6,2,15
2026,Summer,Swiss Round 3,3,kingslayer#beep,Seraphine,0,2,27
2026,Summer,Swiss Round 3,3,Kiny#0001,Aatrox,4,4,2
2026,Summer,Swiss Round 3,3,ASH Ashwin#ash,Udyr,1,6,5
2026,Summer,Swiss Round 3,3,KocLV#FREE,Annie,6,7,4
2026,Summer,Swiss Round 3,3,Arachnobat#LOR,Vel'Koz,1,6,7
2026,Summer,Swiss Round 3,3,WaningEmbers#NA1,Nautilus,1,9,7
2026,Summer,Swiss Round 3,3,Xemacs#LOR,Gwen,10,1,5
2026,Summer,Swiss Round 3,3,Zhangshi#9859,Darius,5,5,5
2026,Summer,Swiss Round 3,3,SnuggleHero#NA1,Veigar,3,2,8
2026,Summer,Swiss Round 3,3,一見鍾情#1314,Ezreal,14,2,8
2026,Summer,Swiss Round 3,3,police defunder#NA1,Camille,4,3,17
2026,Summer,Swiss Round 3,3,greenepic#NA1,Nasus,4,6,3
2026,Summer,Swiss Round 3,3,MENTAL MOUNTAIN#KEN,Wukong,2,7,4
2026,Summer,Swiss Round 3,3,Smiley Quokka#Smile,Syndra,4,6,3
2026,Summer,Swiss Round 3,3,Ixtali Princess#Diva,Taliyah,3,9,2
2026,Summer,Swiss Round 3,3,herrypotta#713,Seraphine,0,8,5
2026,Summer,Swiss Round 2,2,Sarcasm#Riven,Renekton,1,0,6
2026,Summer,Swiss Round 2,2,No Love#NA1,Nocturne,6,2,9
2026,Summer,Swiss Round 2,2,PlightOfTheFlake#NA1,Syndra,5,0,5
2026,Summer,Swiss Round 2,2,Bloodyninja1122,Rumble,6,4,9
2026,Summer,Swiss Round 2,2,ˇchooˇ#hehe,Milio,0,0,17
2026,Summer,Swiss Round 2,2,War Koala#1650,Ornn,2,1,2
2026,Summer,Swiss Round 2,2,blizzardpenguin#roast,Bel'Veth,0,4,2
2026,Summer,Swiss Round 2,2,DeMeatus#NA1,Swain,2,2,3
2026,Summer,Swiss Round 2,2,A Gay Raccoon#RNG,Ashe,1,6,4
2026,Summer,Swiss Round 2,2,kingslayer#beep,Seraphine,1,5,4
2026,Summer,Swiss Round 2,2,Voidliss#NA1,Zeri,15,3,10
2026,Summer,Swiss Round 2,2,Taco1518#NA1,Garen,3,3,8
2026,Summer,Swiss Round 2,2,RichGamebuddy#NA1,Warwick,3,4,11
2026,Summer,Swiss Round 2,2,Ene#TFT,Akali,11,2,6
2026,Summer,Swiss Round 2,2,maomer#bao,Yuumi,2,3,22
2026,Summer,Swiss Round 2,2,Inspiring#309,Shen,1,6,6
2026,Summer,Swiss Round 2,2,torpid7#kitty,Wukong,5,6,5
2026,Summer,Swiss Round 2,2,MeguFace#69,Yasuo,7,9,5
2026,Summer,Swiss Round 2,2,baober#bao,Mel,1,6,5
2026,Summer,Swiss Round 2,2,CloaknRaven#NA1,Fiddlesticks,1,7,8
2026,Summer,Swiss Round 2,2,ChaidyLarry#Larry,Kled,4,2,11
2026,Summer,Swiss Round 2,2,smile#dude,Kayn,15,4,14
2026,Summer,Swiss Round 2,2,SK Telecom T1#Faker,Viktor,9,3,19
2026,Summer,Swiss Round 2,2,rlylost#NA1,Seraphine,8,2,23
2026,Summer,Swiss Round 2,2,LightningFst#1008,Alistar,2,0,31
2026,Summer,Swiss Round 2,2,Zhangshi#9859,Aatrox,0,8,2
2026,Summer,Swiss Round 2,2,Xemacs#LOR,Vi,4,8,5
2026,Summer,Swiss Round 2,2,SnuggleHero#NA1,Veigar,3,6,1
2026,Summer,Swiss Round 2,2,一見鍾情#1314,Dr. Mundo,0,8,3
2026,Summer,Swiss Round 2,2,police defunder#NA1,Leona,4,8,6
2026,Summer,Swiss Round 2,2,greenepic#NA1,Volibear,11,5,7
2026,Summer,Swiss Round 2,2,MENTAL MOUNTAIN#KEN,Nocturne,11,5,11
2026,Summer,Swiss Round 2,2,Smiley Quokka#Smile,Nasus,10,1,7
2026,Summer,Swiss Round 2,2,Ixtali Princess#Diva,Taliyah,6,4,9
2026,Summer,Swiss Round 2,2,herrypotta#713,Vel'Koz,0,2,9
2026,Summer,Swiss Round 2,2,Kiny#0001,Darius,7,9,1
2026,Summer,Swiss Round 2,2,ASH Ashwin#ash,Master Yi,4,10,6
2026,Summer,Swiss Round 2,2,KocLV#FREE,Cassiopeia,4,9,2
2026,Summer,Swiss Round 2,2,Arachnobat#LOR,Syndra,1,5,7
2026,Summer,Swiss Round 2,2,WaningEmbers#NA1,Seraphine,1,5,6
2026,Summer,Swiss Round 1,1,Voidliss#NA1,Corki,9,6,9
2026,Summer,Swiss Round 1,1,Taco1518#NA1,Trundle,8,5,7
2026,Summer,Swiss Round 1,1,RichGamebuddy#NA1,Nasus,1,6,16
2026,Summer,Swiss Round 1,1,Ene#TFT,Viktor,5,4,12
2026,Summer,Swiss Round 1,1,maomer#bao,Nautilus,1,9,12
2026,Summer,Swiss Round 1,1,Sarcasm#Riven,Olaf,4,4,8
2026,Summer,Swiss Round 1,1,No Love#NA1,Nocturne,10,8,13
2026,Summer,Swiss Round 1,1,PlightOfTheFlake#NA1,Galio,5,3,16
2026,Summer,Swiss Round 1,1,Bloodyninja1122,Rumble,10,6,12
2026,Summer,Swiss Round 1,1,ˇchooˇ#hehe,Nami,1,3,22
2026,Summer,Swiss Round 1,1,Inspiring#309,Tryndamere,0,2,7
2026,Summer,Swiss Round 1,1,torpid7#kitty,Shaco,13,1,12
2026,Summer,Swiss Round 1,1,MeguFace#69,Orianna,8,2,12
2026,Summer,Swiss Round 1,1,baober#bao,Ashe,6,3,13
2026,Summer,Swiss Round 1,1,CloaknRaven#NA1,Galio,2,2,18
2026,Summer,Swiss Round 1,1,War Koala#1650,Ornn,1,4,3
2026,Summer,Swiss Round 1,1,blizzardpenguin#roast,Wukong,4,6,2
2026,Summer,Swiss Round 1,1,DeMeatus#NA1,Viktor,1,5,3
2026,Summer,Swiss Round 1,1,A Gay Raccoon#RNG,Varus,4,7,3
2026,Summer,Swiss Round 1,1,kingslayer#beep,Braum,0,7,6
2026,Summer,Swiss Round 1,1,ChaidyLarry#Larry,K'Sante,1,1,4
2026,Summer,Swiss Round 1,1,smile#dude,Graves,10,0,4
2026,Summer,Swiss Round 1,1,SK Telecom T1#Faker,Syndra,4,0,4
2026,Summer,Swiss Round 1,1,rlylost#NA1,Seraphine,3,0,1
2026,Summer,Swiss Round 1,1,LightningFst#1008,Leona,2,1,16
2026,Summer,Swiss Round 1,1,greenepic#NA1,Garen,2,2,0
2026,Summer,Swiss Round 1,1,MENTAL MOUNTAIN#KEN,Nocturne,0,4,0
2026,Summer,Swiss Round 1,1,Ixtali Princess#Diva,Qiyana,0,5,0
2026,Summer,Swiss Round 1,1,Smiley Quokka#Smile,Galio,0,5,1
2026,Summer,Swiss Round 1,1,herrypotta#713,Karma,0,4,0
2026,Summer,Swiss Round 1,1,Xemacs#LOR,Wukong,6,8,16
2026,Summer,Swiss Round 1,1,Zhangshi#9859,Zion,3,6,10
2026,Summer,Swiss Round 1,1,一見鍾情#1314,Syndra,16,5,15
2026,Summer,Swiss Round 1,1,SnuggleHero#NA1,Cassiopeia,13,5,8
2026,Summer,Swiss Round 1,1,police defunder#NA1,Nautilus,2,6,18
2026,Summer,Swiss Round 1,1,Kiny#0001,Gnar,9,7,10
2026,Summer,Swiss Round 1,1,ASH Ashwin#ash,Jarvan IV,7,6,19
2026,Summer,Swiss Round 1,1,KocLV#FREE,Nasus,6,10,10
2026,Summer,Swiss Round 1,1,Arachnobat#LOR,Vel'Koz,7,8,9
2026,Summer,Swiss Round 1,1,WaningEmbers#NA1,Seraphine,1,10,16
