Year,Tournament,Team 1,Team 2,Result
2024,Winter,Inspiring#309,Yeetor#0828,Inspiring#309
2024,Winter,index#fngr,Xemacs#LOR,Xemacs#LOR
2024,Winter,index#fngr,Inspiring#309,Inspiring#309
2024,Winter,Xemacs#LOR,SK Telecom T1#Faker,Xemacs#LOR
2024,Winter,SK Telecom T1#Faker,Inspiring#309,SK Telecom T1#Faker
2024,Winter,Yeetor#0828,abrahampark#NA1,Yeetor#0828
2024,Winter,index#fngr,abrahampark#NA1,index#fngr
2024,Winter,Yeetor#0828,Xemacs#LOR,Yeetor#0828
2024,Winter,abrahampark#NA1,index#fngr,index#fngr
2023,Summer,No Love#NA1,Xemacs#LOR,No Love#NA1
2023,Summer,Xemacs#LOR,Voidliss#NA1,Xemacs#LOR
2023,Summer,No Love#NA1,Kalesvol#DOOB,No Love#NA1
2023,Summer,Kalesvol#DOOB,greenepic#NA1,Kalesvol#DOOB
2023,Summer,Xemacs#LOR,sanxfel,Xemacs#LOR
2023,Summer,Kalesvol#DOOB,sanxfel,Kalesvol#DOOB
2023,Summer,Yeetor#0828,FirstSeraph#NA1,Yeetor#0828
2023,Summer,Kalesvol#DOOB,Yeetor#0828,Kalesvol#DOOB
2023,Summer,FirstSeraph#NA1,Xemacs#LOR,FirstSeraph#NA1
2023,Summer,Xemacs#LOR,Yeetor#0828,Xemacs#LOR
2023,Summer,FirstSeraph#NA1,sanxfel,FirstSeraph#NA1
2023,Summer,Yeetor#0828,sanxfel,Yeetor#0828
2023,Summer,Xemacs#LOR,Kalesvol#DOOB,Xemacs#LOR
2023,Summer,Voidliss#NA1,greenepic#NA1,Voidliss#NA1
2023,Summer,No Love#NA1,abrahampark#NA1,No Love#NA1
2023,Summer,TranquilTurtle#NA1,abrahampark#NA1,TranquilTurtle#NA1
2023,Summer,No Love#NA1,greenepic#NA1,No Love#NA1
2023,Summer,Voidliss#NA1,No Love#NA1,Voidliss#NA1
2023,Summer,TranquilTurtle#NA1,greenepic#NA1,TranquilTurtle#NA1
2023,Summer,No Love#NA1,TranquilTurtle#NA1,No Love#NA1
2023,Summer,Voidliss#NA1,abrahampark#NA1,Voidliss#NA1
2023,Summer,TranquilTurtle#NA1,Voidliss#NA1,Voidliss#NA1
2023,Summer,greenepic#NA1,abrahampark#NA1,greenepic#NA1
2023,Winter,JS Bach#NA1,Inspiring#309,JS Bach#NA1
2023,Winter,Inspiring#309,binkyb1inky#NA1,Inspiring#309
2023,Winter,JS Bach#NA1,SK Telecom T1#Faker,JS Bach#NA1
2023,Winter,SK Telecom T1#Faker,Xemacs#LOR,SK Telecom T1#Faker
2023,Winter,JS Bach#NA1,binkyb1inky#NA1,JS Bach#NA1
2023,Winter,JS Bach#NA1,binkyb1inky#NA1,JS Bach#NA1
2023,Winter,binkyb1inky#NA1,SK Telecom T1#Faker,binkyb1inky#NA1
2023,Winter,Inspiring#309,Xemacs#LOR,Inspiring#309
2023,Winter,JS Bach#NA1,Xemacs#LOR,JS Bach#NA1
2023,Winter,Inspiring#309,SK Telecom T1#Faker,Inspiring#309
2023,Winter,Xemacs#LOR,binkyb1inky#NA1,Xemacs#LOR
2023,Winter,JS Bach#NA1,Inspiring#309,JS Bach#NA1
2023,Winter,JS Bach#NA1,SK Telecom T1#Faker,JS Bach#NA1
2023,Winter,binkyb1inky#NA1,Inspiring#309,binkyb1inky#NA1
2022,Summer,Xemacs#LOR,king kang#HUGE,Xemacs#LOR
2022,Summer,Xemacs#LOR,Yeetor#0828,Xemacs#LOR
2022,Summer,king kang#HUGE,TranquilTurtle#NA1,king kang#HUGE
2022,Summer,Xemacs#LOR,Valkorea#T1WIN,Xemacs#LOR
2022,Summer,TranquilTurtle#NA1,SK Telecom T1#Faker,TranquilTurtle#NA1
2022,Summer,SK Telecom T1#Faker,Valkorea#T1WIN,SK Telecom T1#Faker
2022,Summer,TranquilTurtle#NA1,SincerelyG#inny,TranquilTurtle#NA1
2022,Summer,SincerelyG#inny,Valkorea#T1WIN,SincerelyG#inny
2022,Summer,Xemacs#LOR,SK Telecom T1#Faker,Xemacs#LOR
2022,Summer,SK Telecom T1#Faker,abrahampark#NA1,SK Telecom T1#Faker
2022,Summer,TranquilTurtle#NA1,Xemacs#LOR,TranquilTurtle#NA1
2022,Summer,Xemacs#LOR,SincerelyG#inny,Xemacs#LOR
2022,Summer,TranquilTurtle#NA1,Valkorea#T1WIN,TranquilTurtle#NA1
2022,Summer,Yeetor#0828,king kang#HUGE,Yeetor#0828
